student_id,gender,class_level,age,attendance_pct,avg_marks,previous_failures,family_income_monthly,distance_to_school_km,guardian_education,single_parent,sibling_dropout,mobile_available,internet_access,scholarship,midday_meal,study_hours_per_day,health_risk,school_engagement_score,teacher_feedback_score,disciplinary_incidents,dropout_flag
1,Female,9,16,82.7,50.5,3,9100,0.5,No Schooling,0,0,1,1,0,1,5.4,Low,48.8,28.2,0,0
2,Male,9,15,88.8,71.3,5,3700,0.3,Primary,0,0,0,0,0,1,4.3,Medium,24.0,37.2,1,1
3,Female,6,10,52.6,48.8,0,13100,7.4,No Schooling,0,0,0,0,0,1,3.1,Low,7.2,28.3,0,0
4,Female,6,13,81.1,93.9,0,6800,2.6,Primary,0,0,1,0,1,0,7.2,Medium,47.8,57.5,0,0
5,Male,7,14,89.9,88.1,0,7800,15.0,No Schooling,0,0,1,0,1,0,4.0,Low,13.7,29.6,0,0
6,Female,6,10,73.2,66.6,0,9500,4.6,Secondary,1,0,0,1,1,1,4.8,Low,38.9,31.3,0,0
7,Female,7,11,94.2,9.5,1,3000,0.9,Secondary,0,0,0,0,1,0,2.7,High,38.8,29.8,0,0
8,Female,10,14,70.4,38.8,0,3800,0.1,Primary,0,0,0,0,0,1,0.7,High,28.6,14.1,1,0
9,Male,6,13,75.9,77.1,2,22500,0.5,Secondary,0,0,1,0,1,1,4.5,Low,54.3,34.2,0,0
10,Male,7,13,85.1,55.8,0,3400,1.5,Primary,0,1,0,0,0,1,3.9,Low,55.1,41.9,2,1
11,Male,9,15,83.9,54.7,1,3900,1.2,Secondary,0,0,0,0,0,1,5.1,Low,42.4,43.0,0,0
12,Female,8,13,97.7,74.4,5,6300,9.8,Secondary,0,0,1,0,1,1,3.0,Low,41.8,24.2,0,0
13,Female,6,11,76.3,89.1,0,14000,2.2,Secondary,0,0,1,0,0,1,4.8,Low,45.0,25.3,0,0
14,Female,6,12,80.7,46.2,4,3100,0.5,No Schooling,0,1,0,1,0,1,3.8,Low,25.0,16.7,0,0
15,Male,10,14,80.2,88.2,1,6700,4.3,No Schooling,0,0,0,0,0,1,7.1,Low,36.6,45.8,0,0
16,Male,6,12,67.0,87.3,0,19000,0.1,Primary,1,0,0,0,0,1,6.9,Low,39.8,20.0,0,0
17,Female,9,13,93.3,89.0,0,10100,0.1,Secondary,0,0,1,0,0,1,6.9,High,67.4,14.4,0,0
18,Male,9,16,77.1,86.3,0,4100,3.5,Primary,0,0,1,0,1,1,6.5,Low,39.8,41.4,0,0
19,Female,7,11,96.1,89.5,1,16700,0.2,Secondary,0,1,1,1,0,0,4.8,Medium,31.1,30.2,0,0
20,Female,9,13,79.4,58.8,1,6400,1.4,Graduate,0,0,1,0,0,1,2.1,Low,35.6,37.2,1,0
21,Female,6,11,83.4,56.5,0,11200,0.1,Graduate,0,1,0,0,0,1,2.6,High,43.6,19.1,1,0
22,Male,7,12,96.0,60.4,0,4700,2.5,Primary,0,0,1,0,0,0,5.0,Medium,32.8,20.3,0,0
23,Female,7,13,86.6,54.3,4,16200,1.5,Primary,1,0,1,0,0,1,1.3,Low,37.1,33.2,0,1
24,Female,10,17,68.5,73.9,4,6400,6.8,Graduate,1,0,1,0,1,1,7.5,Low,64.7,22.4,0,0
25,Female,6,12,78.4,21.3,2,9500,3.1,Secondary,0,0,0,0,0,1,0.0,Medium,14.3,10.2,0,1
26,Male,6,11,67.9,46.1,0,3000,1.0,Secondary,1,0,0,0,0,1,1.6,Low,43.4,29.7,1,0
27,Male,10,16,78.0,71.3,0,23100,4.5,Primary,0,0,1,1,1,1,4.6,Medium,62.0,19.2,0,0
28,Male,6,12,81.5,46.8,1,20200,5.5,No Schooling,0,0,0,1,0,1,2.6,Medium,39.2,28.5,1,0
29,Male,10,14,60.3,42.8,0,3500,0.7,No Schooling,1,1,0,0,1,1,2.1,Medium,47.5,27.6,1,0
30,Female,9,13,78.6,66.9,2,23700,2.6,Secondary,0,0,0,0,1,1,3.3,High,30.8,4.2,0,0
31,Female,8,12,67.5,84.3,1,3200,1.7,Primary,0,0,0,0,0,0,5.7,Medium,19.9,30.4,0,0
32,Female,9,13,66.0,56.7,0,3300,4.7,Secondary,0,0,0,0,0,1,5.6,Low,19.3,21.8,0,0
33,Male,9,16,91.5,88.1,2,7000,3.5,Graduate,1,0,0,0,0,0,3.9,High,49.5,38.3,0,0
34,Male,6,11,89.9,42.8,1,9200,1.5,Graduate,0,0,1,0,0,1,2.8,Low,18.4,6.8,1,0
35,Male,10,15,74.8,26.3,2,15100,7.5,Primary,1,0,0,0,0,0,1.3,Medium,38.9,16.6,0,1
36,Male,10,15,84.9,14.1,1,7600,4.6,Graduate,0,0,1,1,0,1,0.0,Low,40.8,0.0,0,0
37,Male,10,15,93.0,97.1,4,3900,0.5,No Schooling,0,0,0,1,0,1,3.9,Medium,45.7,43.5,0,0
38,Male,8,14,95.0,51.5,2,17200,3.2,Secondary,0,1,1,0,0,1,2.2,Medium,34.3,17.7,1,1
39,Male,8,12,96.2,85.7,3,7200,0.1,Primary,0,0,0,0,0,0,6.1,Low,47.4,40.3,0,0
40,Female,8,14,72.9,66.0,3,12700,3.8,Primary,0,0,1,0,0,1,2.1,Low,35.9,14.6,0,1
